"Year","Location","Name","ICU Rating","FIDE rating","Title","Score",,,,,,,,,,,,,,,,,,,,,,,,,,
2007,"Dublin","McCabe, Darren",1857,,"na",,,,,,,,,,,,,,,,,,,,,,,,,2,"4½","23-29"
2007,"Dublin","Salter, David",1786,1917,"na",,,,,,,,,,,,,,,,,,,,,,,,,2,"4½","23-29"
2007,"Dublin","Uí Laighléis, Gearóidín",1592,1986,"na",,,,,,,,,,,,,,,,,,,,,,,,,2,"4½","23-29"
2007,"Dublin","Cafolla, Peter",2009,2034,"na",,,,,,,,,,,,,,,,,,,,,,,,,4,4,"30-38"
2007,"Dublin","Egan, Colm",1740,,"na",,,,,,,,,,,,,,,,,,,,,,,,,4,4,"30-38"
2007,"Dublin","Große-Honebrink, Brigitte",1945,1945,"na",,,,,,,,,,,,,,,,,,,,,,,,,3,4,"30-38"
2007,"Dublin","Healy, John",1659,,"na",,,,,,,,,,,,,,,,,,,,,,,,,4,4,"30-38"
2007,"Dublin","McCarthy, Gerry",1880,,"na",,,,,,,,,,,,,,,,,,,,,,,,,4,4,"30-38"
2007,"Dublin","McCarthy, Tim",1939,2085,"na",,,,,,,,,,,,,,,,,,,,,,,,,2,4,"30-38"
2007,"Dublin","Murray, Jim",1732,,"na",,,,,,,,,,,,,,,,,,,,,,,,,5,4,"30-38"
2007,"Dublin","Normoyle, Liam",1995,1757,"na",,,,,,,,,,,,,,,,,,,,,,,,,3,4,"30-38"
2007,"Dublin","O'Leary, Matt",2052,2052,"na",,,,,,,,,,,,,,,,,,,,,,,,,4,4,"30-38"
2007,"Dublin","Delaney, Rory",1655,,"na",,,,,,,,,,,,,,,,,,,,,,,,,4,"3½","39-44"
2007,"Dublin","Doyle, Hugh",1404,,"na",,,,,,,,,,,,,,,,,,,,,,,,,3,"3½","39-44"
2007,"Dublin","Khonji, Hameed",,,"na",,,,,,,,,,,,,,,,,,,,,,,,,5,"3½","39-44"
2007,"Dublin","Loughran, John",1644,1789,"na",,,,,,,,,,,,,,,,,,,,,,,,,5,"3½","39-44"
2007,"Dublin","Palmer, Bernard",1897,1980,"na",,,,,,,,,,,,,,,,,,,,,,,,,5,"3½","39-44"
2007,"Dublin","Short, Stephen",1898,,"na",,,,,,,,,,,,,,,,,,,,,,,,,4,"3½","39-44"
2007,"Dublin","Hogarty, Philip",1944,1865,"na",,,,,,,,,,,,,,,,,,,,,,,,,5,3,"45-47"
2007,"Dublin","Jamieson, Ian",2014,2014,"na",,,,,,,,,,,,,,,,,,,,,,,,,5,3,"45-47"
2007,"Dublin","Twomey, Pat",1682,1894,"na",,,,,,,,,,,,,,,,,,,,,,,,,5,3,"45-47"
2007,"Dublin","Hronchek, Dan",,,"na",,,,,,,,,,,,,,,,,,,,,,,,,3,"2½","48-51"
2007,"Dublin","Launders, Patrick",1449,,"na",,,,,,,,,,,,,,,,,,,,,,,,,5,"2½","48-51"
2007,"Dublin","Maher, John",1394,,"na",,,,,,,,,,,,,,,,,,,,,,,,,6,"2½","48-51"
2007,"Dublin","Soikkeli, Raino",1607,,"na",,,,,,,,,,,,,,,,,,,,,,,,,5,"2½","48-51"
2007,"Dublin","Lynch, Peter J.",1651,,"na",,,,,,,,,,,,,,,,,,,,,,,,,7,2,52
2008,"Dublin","Baburin, Alexander",2534,2526,"GM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"Dublin","Greenfeld, Alon",2545,2545,"GM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"Dublin","Hebden, Mark",2520,2520,"GM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"Dublin","Jessel, Stephen",2239,2294,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"Dublin","Butnorius, Algimantas",2442,2442,"GM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"Dublin","Daly, Colm",2277,2311,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"Dublin","Short, Philip",2271,2300,"FM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"Dublin","Duffy, Séamus",1885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"Dublin","Fox, Anthony",2054,2068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"Dublin","Griffiths, Ryan-Rhys",2100,2069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"Dublin","Orr, Mark J. L.",2199,2258,"IM",,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"Dublin","Quinn, Ciarán",1923,2156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"Dublin","Carosso, Andrea",2046,2046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"Dublin","Conquest, Stuart",2536,2536,"GM",,,,,,,,,,,,,,,,,,,,,,,,,,,
